station_id,station_name,timestamp,temperature,humidity,pressure,source,scenario_id,scenario_type,fault_type,severity,ground_truth,is_anomaly,is_sensor_fault,event_start,event_end,affected_parameter,description
43150,Visakhapatnam (AWS008),2026-09-01T16:00:00Z,32.55,72.4,1016.21,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-01T17:00:00Z,31.38,72.9,1016.73,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-01T18:00:00Z,30.74,74.1,1017.02,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-01T19:00:00Z,30.12,77.4,1018.13,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-01T20:00:00Z,28.49,80.6,1019.91,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-01T21:00:00Z,26.9,85.7,1021.57,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-01T22:00:00Z,25.6,87.3,1023.03,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-01T23:00:00Z,24.6,90.9,1024.55,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-02T00:00:00Z,23.97,93.5,1025.24,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-02T01:00:00Z,22.71,94.8,1026.25,SYNTHETIC_SIMULATION,SCN_VAL_BARO_DRIFT_43150,SINGLE_STATION_FAULT,PRESSURE_DRIFT,MODERATE,SENSOR_FAULT,1,1,2026-09-01T16:00:00Z,2026-09-02T01:00:00Z,pressure,Synthetic MODERATE pressure drift injection
43150,Visakhapatnam (AWS008),2026-09-08T18:00:00Z,36.6,65.7,1009.73,SYNTHETIC_SIMULATION,SCN_TEST_SPIKE_MILD_43150,SINGLE_STATION_FAULT,TEMPERATURE_SPIKE,MILD,SENSOR_FAULT,1,1,2026-09-08T18:00:00Z,2026-09-08T20:00:00Z,temperature,Synthetic MILD temperature spike injection
43150,Visakhapatnam (AWS008),2026-09-08T19:00:00Z,35.56,71.8,1010.47,SYNTHETIC_SIMULATION,SCN_TEST_SPIKE_MILD_43150,SINGLE_STATION_FAULT,TEMPERATURE_SPIKE,MILD,SENSOR_FAULT,1,1,2026-09-08T18:00:00Z,2026-09-08T20:00:00Z,temperature,Synthetic MILD temperature spike injection
43150,Visakhapatnam (AWS008),2026-09-08T20:00:00Z,33.89,73.9,1010.11,SYNTHETIC_SIMULATION,SCN_TEST_SPIKE_MILD_43150,SINGLE_STATION_FAULT,TEMPERATURE_SPIKE,MILD,SENSOR_FAULT,1,1,2026-09-08T18:00:00Z,2026-09-08T20:00:00Z,temperature,Synthetic MILD temperature spike injection
43150,Visakhapatnam (AWS008),2026-09-11T07:00:00+00:00,25.96,87.8,1014.86,SYNTHETIC_SIMULATION,SCN_TEST_TIMESTAMP_43150,DATA_QUALITY,TIMESTAMP_ERROR,MODERATE,DATA_QUALITY_ISSUE,1,1,2026-09-12T07:00:00Z,2026-09-12T09:00:00Z,timestamp,Synthetic MODERATE timestamp error injection
43150,Visakhapatnam (AWS008),2026-09-11T08:00:00+00:00,27.37,83.5,1015.35,SYNTHETIC_SIMULATION,SCN_TEST_TIMESTAMP_43150,DATA_QUALITY,TIMESTAMP_ERROR,MODERATE,DATA_QUALITY_ISSUE,1,1,2026-09-12T07:00:00Z,2026-09-12T09:00:00Z,timestamp,Synthetic MODERATE timestamp error injection
43150,Visakhapatnam (AWS008),2026-09-11T09:00:00+00:00,28.14,82.5,1015.82,SYNTHETIC_SIMULATION,SCN_TEST_TIMESTAMP_43150,DATA_QUALITY,TIMESTAMP_ERROR,MODERATE,DATA_QUALITY_ISSUE,1,1,2026-09-12T07:00:00Z,2026-09-12T09:00:00Z,timestamp,Synthetic MODERATE timestamp error injection
43189,Vijayawada (AWS014),2026-08-28T12:00:00Z,37.34,53.4,1009.44,SYNTHETIC_SIMULATION,SCN_VAL_DRIFT_43189,SINGLE_STATION_FAULT,TEMPERATURE_DRIFT,MILD,SENSOR_FAULT,1,1,2026-08-28T12:00:00Z,2026-08-28T19:00:00Z,temperature,Synthetic MILD temperature drift injection
43189,Vijayawada (AWS014),2026-08-28T13:00:00Z,37.54,50.0,1008.99,SYNTHETIC_SIMULATION,SCN_VAL_DRIFT_43189,SINGLE_STATION_FAULT,TEMPERATURE_DRIFT,MILD,SENSOR_FAULT,1,1,2026-08-28T12:00:00Z,2026-08-28T19:00:00Z,temperature,Synthetic MILD temperature drift injection
43189,Vijayawada (AWS014),2026-08-28T14:00:00Z,38.57,49.4,1008.4,SYNTHETIC_SIMULATION,SCN_VAL_DRIFT_43189,SINGLE_STATION_FAULT,TEMPERATURE_DRIFT,MILD,SENSOR_FAULT,1,1,2026-08-28T12:00:00Z,2026-08-28T19:00:00Z,temperature,Synthetic MILD temperature drift injection
43189,Vijayawada (AWS014),2026-08-28T15:00:00Z,38.49,49.3,1007.72,SYNTHETIC_SIMULATION,SCN_VAL_DRIFT_43189,SINGLE_STATION_FAULT,TEMPERATURE_DRIFT,MILD,SENSOR_FAULT,1,1,2026-08-28T12:00:00Z,2026-08-28T19:00:00Z,temperature,Synthetic MILD temperature drift injection
43189,Vijayawada (AWS014),2026-08-28T16:00:00Z,39.02,51.3,1006.92,SYNTHETIC_SIMULATION,SCN_VAL_DRIFT_43189,SINGLE_STATION_FAULT,TEMPERATURE_DRIFT,MILD,SENSOR_FAULT,1,1,2026-08-28T12:00:00Z,2026-08-28T19:00:00Z,temperature,Synthetic MILD temperature drift injection
43189,Vijayawada (AWS014),2026-08-28T17:00:00Z,38.77,50.3,1006.15,SYNTHETIC_SIMULATION,SCN_VAL_DRIFT_43189,SINGLE_STATION_FAULT,TEMPERATURE_DRIFT,MILD,SENSOR_FAULT,1,1,2026-08-28T12:00:00Z,2026-08-28T19:00:00Z,temperature,Synthetic MILD temperature drift injection
43189,Vijayawada (AWS014),2026-08-28T18:00:00Z,37.99,55.2,1005.84,SYNTHETIC_SIMULATION,SCN_VAL_DRIFT_43189,SINGLE_STATION_FAULT,TEMPERATURE_DRIFT,MILD,SENSOR_FAULT,1,1,2026-08-28T12:00:00Z,2026-08-28T19:00:00Z,temperature,Synthetic MILD temperature drift injection
43189,Vijayawada (AWS014),2026-08-28T19:00:00Z,37.67,56.9,1005.65,SYNTHETIC_SIMULATION,SCN_VAL_DRIFT_43189,SINGLE_STATION_FAULT,TEMPERATURE_DRIFT,MILD,SENSOR_FAULT,1,1,2026-08-28T12:00:00Z,2026-08-28T19:00:00Z,temperature,Synthetic MILD temperature drift injection
43189,Vijayawada (AWS014),2026-08-30T04:00:00Z,37.42,72.3,1004.21,SYNTHETIC_SIMULATION,SCN_VAL_SPIKE_43189,SINGLE_STATION_FAULT,TEMPERATURE_SPIKE,MODERATE,SENSOR_FAULT,1,1,2026-08-30T04:00:00Z,2026-08-30T07:00:00Z,temperature,Synthetic MODERATE temperature spike injection
43189,Vijayawada (AWS014),2026-08-30T05:00:00Z,37.08,68.4,1003.62,SYNTHETIC_SIMULATION,SCN_VAL_SPIKE_43189,SINGLE_STATION_FAULT,TEMPERATURE_SPIKE,MODERATE,SENSOR_FAULT,1,1,2026-08-30T04:00:00Z,2026-08-30T07:00:00Z,temperature,Synthetic MODERATE temperature spike injection
